id,origen,destino,distancia,tiempo_estimado,costo,velocidad_promedio,congestion,disponible,incidentes,tipo_via,nombre_via,carriles,sentido_unico,peaje,restricciones,geometria
1164561373,267899342,13276801890,161.4344103482803,0.19372129241793637,0.0,30.0,baja,True,0,secundaria,Avenida Calle 85,4.0,False,False,[],"[[-74.0524148, 4.6684303], [-74.0536337, 4.6691332], [-74.0536548, 4.6691454], [-74.0536756, 4.6691574]]"
24645801,267902561,267902562,115.04160596299037,0.13804992715558845,0.0,30.0,baja,True,0,residencial,Carrera 14,2.0,False,False,[],"[[-74.0539442, 4.6705069], [-74.0544141, 4.6696226], [-74.05443, 4.6695926]]"
89582586,267902561,267902565,103.73986480507504,0.12448783776609007,0.0,30.0,baja,True,0,residencial,Calle 86A,2.0,True,False,[],"[[-74.0539442, 4.6705069], [-74.0539049, 4.6704922], [-74.0538656, 4.6704835], [-74.0530209, 4.6703594]]"
24645801#1,267902562,267902561,115.04160596299037,0.13804992715558845,0.0,30.0,baja,True,0,residencial,Carrera 14,2.0,False,False,[],"[[-74.05443, 4.6695926], [-74.0544141, 4.6696226], [-74.0539442, 4.6705069]]"
"[89601080, 89581008]",267902562,12596010817,108.07453922852187,0.12968944707422622,0.0,30.0,baja,True,0,secundaria,Avenida Calle 85,4.0,False,False,[],"[[-74.05443, 4.6695926], [-74.0551385, 4.6699849], [-74.0551851, 4.6700107], [-74.0552332, 4.6700495], [-74.0552717, 4.6700805]]"
89601080,267902562,13276801890,96.60203925088668,0.115922447101064,0.0,30.0,baja,True,0,secundaria,Avenida Calle 85,4.0,False,False,[],"[[-74.05443, 4.6695926], [-74.0540804, 4.669391], [-74.053973, 4.669329], [-74.0537588, 4.6692054], [-74.0537294, 4.6691885], [-74.0536756, 4.6691574]]"
89582586#1,267902565,2811229875,92.18432408545226,0.1106211889025427,0.0,30.0,baja,True,0,residencial,Calle 86A,2.0,True,False,[],
"[89601244, 1446437116]",267902565,13276801890,152.08139061251114,0.18249766873501336,0.0,30.0,baja,True,0,residencial,Carrera 13,2.0,True,False,[],"[[-74.0530209, 4.6703594], [-74.053326, 4.6698016], [-74.0536387, 4.6692254], [-74.0536568, 4.669192], [-74.0536756, 4.6691574]]"
68748982,268083089,268083090,13.861361805672411,0.016633634166806896,0.0,30.0,baja,True,0,residencial,Carrera 16A,2.0,False,False,[],
68748982#1,268083089,327871421,88.84620870053656,0.10661545044064388,0.0,30.0,baja,True,0,residencial,Carrera 16A,2.0,False,False,[],"[[-74.0564303, 4.6705726], [-74.0564518, 4.6705398], [-74.0564588, 4.6705236], [-74.0564835, 4.6704696], [-74.0567026, 4.6699898], [-74.056757, 4.669872], [-74.0567673, 4.6698481]]"
"[583975821, 917897783]",268083089,12596010817,140.8284566739018,0.16899414800868212,0.0,50.0,baja,True,0,secundaria,Avenida Calle 85,3.0,True,False,[],"[[-74.0564303, 4.6705726], [-74.0563998, 4.6705567], [-74.0563327, 4.6705236], [-74.0554287, 4.6701001], [-74.0553768, 4.6700758], [-74.0552717, 4.6700805]]"
68748982#2,268083090,268083089,13.861361805672411,0.016633634166806896,0.0,30.0,baja,True,0,residencial,Carrera 16A,2.0,False,False,[],
583975820#1,268083090,310000051,64.54695699581198,0.07745634839497437,0.0,50.0,baja,True,0,secundaria,Avenida Calle 85,3.0,True,False,[],
856995352,268083092,389158752,63.67471352309226,0.07640965622771072,0.0,50.0,baja,True,0,secundaria,Avenida Calle 85,3.0,True,False,[],
24663723,268083092,312644720,135.8551659940193,0.16302619919282318,0.0,30.0,baja,True,0,residencial,Carrera 19B,2.0,True,False,[],"[[-74.058512, 4.6715817], [-74.0585331, 4.6715419], [-74.0585415, 4.671525], [-74.0590549, 4.6704863]]"
583975820#2,268083093,434946794,69.06000042725698,0.08287200051270838,0.0,50.0,baja,True,0,secundaria,Avenida Calle 85,3.0,True,False,[],
1009693943,268152908,7989820878,12.80220947898847,0.015362651374786164,0.0,50.0,baja,True,0,secundaria,Calle 76,2.0,True,False,[],
414897562,268152908,903701516,106.77178475484084,0.128126141705809,0.0,50.0,baja,True,0,secundaria,Avenida Carrera 24,3.0,True,False,[],"[[-74.06483, 4.6665023], [-74.064762, 4.6665936], [-74.0646833, 4.6666992], [-74.0642848, 4.6672937]]"
