id,nombre,latitud,longitud,tipo,accesible
312649086,Nodo 312649086,4.6632692,-74.0597652,interseccion,True
312649100,Nodo 312649100,4.6616037,-74.0591973,interseccion,True
312649221,Nodo 312649221,4.6652689,-74.0647792,interseccion,True
312649222,Nodo 312649222,4.665658,-74.0653873,interseccion,True
312649269,Nodo 312649269,4.6647966,-74.0650557,interseccion,True
312649281,Nodo 312649281,4.6636647,-74.0633478,interseccion,True
312649437,Nodo 312649437,4.6678552,-74.0687836,interseccion,True
312649438,Nodo 312649438,4.6657328,-74.065477,interseccion,True
312649507,Nodo 312649507,4.6683048,-74.0683973,interseccion,True
312649509,Nodo 312649509,4.6662304,-74.0651568,interseccion,True
312649530,Nodo 312649530,4.6674415,-74.0691393,interseccion,True
312649531,Nodo 312649531,4.6652579,-74.0657825,interseccion,True
312649660,Nodo 312649660,4.6673523,-74.0643906,interseccion,True
312649661,Nodo 312649661,4.6708462,-74.0697902,interseccion,True
312649721,Nodo 312649721,4.6715106,-74.0692293,interseccion,True
312649896,Nodo 312649896,4.6669514,-74.0695435,interseccion,True
312649899,Nodo 312649899,4.6688588,-74.0679275,interseccion,True
312649901,Nodo 312649901,4.6693601,-74.0674876,interseccion,True
312649903,Nodo 312649903,4.6700216,-74.066913,interseccion,True
312650439,Nodo 312650439,4.6509031,-74.0569879,interseccion,True
312655765,Nodo 312655765,4.6566394,-74.0640879,interseccion,True
312655767,Nodo 312655767,4.6549389,-74.0647842,interseccion,True
312655769,Nodo 312655769,4.6529645,-74.0651308,interseccion,True
312655857,Nodo 312655857,4.6591324,-74.0661302,interseccion,True
312655858,Nodo 312655858,4.6586637,-74.065367,interseccion,True
312656093,Nodo 312656093,4.6560479,-74.0690477,interseccion,True
312656101,Nodo 312656101,4.6571701,-74.0683216,interseccion,True
312656102,Nodo 312656102,4.6578028,-74.0679131,interseccion,True
312656218,Nodo 312656218,4.6586584,-74.0673482,interseccion,True
312656219,Nodo 312656219,4.6603891,-74.066177,interseccion,True
312656220,Nodo 312656220,4.6610728,-74.0657377,interseccion,True
312656265,Nodo 312656265,4.660179,-74.0643851,interseccion,True
312656270,Nodo 312656270,4.6590955,-74.0627091,interseccion,True
312656380,Nodo 312656380,4.659025,-74.0640293,interseccion,True
312656381,Nodo 312656381,4.659514,-74.0648085,interseccion,True
312656382,Nodo 312656382,4.6599868,-74.0655644,interseccion,True
312656383,Nodo 312656383,4.6607098,-74.0667019,interseccion,True
312656384,Nodo 312656384,4.6615182,-74.0679967,interseccion,True
312656396,Nodo 312656396,4.6606359,-74.0685496,interseccion,True
312656397,Nodo 312656397,4.6602377,-74.0679074,interseccion,True
312656398,Nodo 312656398,4.6598585,-74.0672937,interseccion,True
312656404,Nodo 312656404,4.6611087,-74.0673606,interseccion,True
312656405,Nodo 312656405,4.6585569,-74.0689814,interseccion,True
312656406,Nodo 312656406,4.6593465,-74.0684624,interseccion,True
312656480,Nodo 312656480,4.657927,-74.0694222,interseccion,True
312656481,Nodo 312656481,4.6573172,-74.069849,interseccion,True
312656482,Nodo 312656482,4.6568485,-74.0701773,interseccion,True
312656483,Nodo 312656483,4.6562083,-74.0706254,interseccion,True
312656666,Nodo 312656666,4.6582413,-74.0702006,interseccion,True
312656926,Nodo 312656926,4.6628229,-74.0705445,interseccion,True
312657883,Nodo 312657883,4.6666316,-74.0704622,interseccion,True
312660056,Nodo 312660056,4.6615655,-74.0680969,interseccion,True
312660198,Nodo 312660198,4.6631353,-74.0661046,interseccion,True
312660201,Nodo 312660201,4.6618915,-74.0643494,interseccion,True
312660204,Nodo 312660204,4.6609139,-74.0628761,interseccion,True
312660207,Nodo 312660207,4.6614084,-74.0636211,interseccion,True
312660208,Nodo 312660208,4.662649,-74.0653897,interseccion,True
312660210,Nodo 312660210,4.6617946,-74.0654091,interseccion,True
312660426,Nodo 312660426,4.6631437,-74.0690516,interseccion,True
312660427,Nodo 312660427,4.6639806,-74.0684511,interseccion,True
312660429,Nodo 312660429,4.6642985,-74.0688706,interseccion,True
312660814,Nodo 312660814,4.6603166,-74.0688787,interseccion,True
312660844,Nodo 312660844,4.6634486,-74.0675669,interseccion,True
312660847,Nodo 312660847,4.663758,-74.0679799,interseccion,True
312660984,Nodo 312660984,4.6643879,-74.0688147,interseccion,True
312660987,Nodo 312660987,4.6640666,-74.0683918,interseccion,True
312661324,Nodo 312661324,4.6655152,-74.068688,interseccion,True
312661325,Nodo 312661325,4.6647141,-74.0692442,interseccion,True
312661326,Nodo 312661326,4.6659112,-74.0677838,interseccion,True
312661329,Nodo 312661329,4.6662301,-74.0682795,interseccion,True
312661820,Nodo 312661820,4.670531,-74.0647938,interseccion,True
312661821,Nodo 312661821,4.6701901,-74.0650129,interseccion,True
312661822,Nodo 312661822,4.6692023,-74.0656427,interseccion,True
312661823,Nodo 312661823,4.6684729,-74.0661172,interseccion,True
312661824,Nodo 312661824,4.6678329,-74.0665336,interseccion,True
312661825,Nodo 312661825,4.6673431,-74.0668523,interseccion,True
312661826,Nodo 312661826,4.6668298,-74.0671862,interseccion,True
312661827,Nodo 312661827,4.6663664,-74.0674877,interseccion,True
312661858,Nodo 312661858,4.6704282,-74.0701322,interseccion,True
312661870,Nodo 312661870,4.6681618,-74.0670354,interseccion,True
312661871,Nodo 312661871,4.6684554,-74.0673886,interseccion,True
312661873,Nodo 312661873,4.669252,-74.0684803,interseccion,True
312661874,Nodo 312661874,4.6696521,-74.0690344,interseccion,True
312661875,Nodo 312661875,4.6700397,-74.0695926,interseccion,True
312661925,Nodo 312661925,4.6715623,-74.0656329,interseccion,True
312661928,Nodo 312661928,4.6708875,-74.0661543,interseccion,True
312662078,Nodo 312662078,4.6712705,-74.0667738,interseccion,True
312662079,Nodo 312662079,4.6704056,-74.0675059,interseccion,True
312662080,Nodo 312662080,4.6697333,-74.0680732,interseccion,True
312662082,Nodo 312662082,4.6672853,-74.0699766,interseccion,True
312662154,Nodo 312662154,4.6716079,-74.0673461,interseccion,True
312662155,Nodo 312662155,4.6707808,-74.0680846,interseccion,True
312662156,Nodo 312662156,4.6701165,-74.0686459,interseccion,True
312662157,Nodo 312662157,4.6684966,-74.069769,interseccion,True
312662158,Nodo 312662158,4.6676407,-74.0704296,interseccion,True
312662292,Nodo 312662292,4.6711424,-74.0686566,interseccion,True
312662293,Nodo 312662293,4.6704847,-74.069223,interseccion,True
312662473,Nodo 312662473,4.669019,-74.0694276,interseccion,True
312662632,Nodo 312662632,4.6688203,-74.0702559,interseccion,True
312662633,Nodo 312662633,4.6693051,-74.0698759,interseccion,True
